"","X","user_name","raw_timestamp_part_1","raw_timestamp_part_2","cvtd_timestamp","new_window","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","kurtosis_roll_belt","kurtosis_picth_belt","kurtosis_yaw_belt","skewness_roll_belt","skewness_roll_belt.1","skewness_yaw_belt","max_roll_belt","max_picth_belt","max_yaw_belt","min_roll_belt","min_pitch_belt","min_yaw_belt","amplitude_roll_belt","amplitude_pitch_belt","amplitude_yaw_belt","var_total_accel_belt","avg_roll_belt","stddev_roll_belt","var_roll_belt","avg_pitch_belt","stddev_pitch_belt","var_pitch_belt","avg_yaw_belt","stddev_yaw_belt","var_yaw_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","var_accel_arm","avg_roll_arm","stddev_roll_arm","var_roll_arm","avg_pitch_arm","stddev_pitch_arm","var_pitch_arm","avg_yaw_arm","stddev_yaw_arm","var_yaw_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","kurtosis_roll_arm","kurtosis_picth_arm","kurtosis_yaw_arm","skewness_roll_arm","skewness_pitch_arm","skewness_yaw_arm","max_roll_arm","max_picth_arm","max_yaw_arm","min_roll_arm","min_pitch_arm","min_yaw_arm","amplitude_roll_arm","amplitude_pitch_arm","amplitude_yaw_arm","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","kurtosis_roll_dumbbell","kurtosis_picth_dumbbell","kurtosis_yaw_dumbbell","skewness_roll_dumbbell","skewness_pitch_dumbbell","skewness_yaw_dumbbell","max_roll_dumbbell","max_picth_dumbbell","max_yaw_dumbbell","min_roll_dumbbell","min_pitch_dumbbell","min_yaw_dumbbell","amplitude_roll_dumbbell","amplitude_pitch_dumbbell","amplitude_yaw_dumbbell","total_accel_dumbbell","var_accel_dumbbell","avg_roll_dumbbell","stddev_roll_dumbbell","var_roll_dumbbell","avg_pitch_dumbbell","stddev_pitch_dumbbell","var_pitch_dumbbell","avg_yaw_dumbbell","stddev_yaw_dumbbell","var_yaw_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","kurtosis_roll_forearm","kurtosis_picth_forearm","kurtosis_yaw_forearm","skewness_roll_forearm","skewness_pitch_forearm","skewness_yaw_forearm","max_roll_forearm","max_picth_forearm","max_yaw_forearm","min_roll_forearm","min_pitch_forearm","min_yaw_forearm","amplitude_roll_forearm","amplitude_pitch_forearm","amplitude_yaw_forearm","total_accel_forearm","var_accel_forearm","avg_roll_forearm","stddev_roll_forearm","var_roll_forearm","avg_pitch_forearm","stddev_pitch_forearm","var_pitch_forearm","avg_yaw_forearm","stddev_yaw_forearm","var_yaw_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"4470",4470,"charles",1322837824,344406,"02/12/2011 14:57","no",665,114,21.4,-11.6,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.1,-0.28,-32,61,-159,12,609,-311,-123,-39.5,-47.2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.43,0.39,-150,-70,15,62,174,646,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.096747378,-23.86177106,132.1453872,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06,0.14,-0.2,-10,-3,41,-527,339,-136,18.2,7.26,-90.3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,1.64,0.36,-74,102,-2,-205,753,527,"A"
"4528",4528,"charles",1322837827,440337,"02/12/2011 14:57","no",667,115,20.3,-9.29,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.1,-0.18,-22,61,-158,9,602,-313,-111,-41.9,-67,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,-0.79,0.79,-190,-102,42,14,127,666,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.49203413,-66.34345796,45.23030757,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,0.24,-0.13,-31,-33,22,-524,333,-166,-24.6,20.2,-160,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,-2.6,-0.1,-319,53,15,-679,395,505,"A"
"4530",4530,"charles",1322837827,608290,"02/12/2011 14:57","no",667,115,20.3,-9.21,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.1,-0.05,-19,59,-154,7,609,-327,-111,-42.8,-67.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,-0.75,0.84,-189,-99,44,4,129,659,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.99706484,34.54349539,67.52836169,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,-0.05,-0.43,13,-27,24,-523,331,-172,-30.4,15.7,-170,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,-2.99,-0.97,-400,-20,-11,-684,235,443,"A"
"4578",4578,"charles",1322837829,700293,"02/12/2011 14:57","no",669,118,17.6,-3.8,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.13,-0.2,-26,64,-161,26,596,-338,-70.4,-27.4,-117,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,-0.58,1.02,-294,-61,-59,-394,250,550,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.19642141,-19.5910096,133.917945,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.16,-0.23,-8,5,40,-530,338,-167,-11.3,24.8,-122,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,-2.04,-1,-228,124,43,-591,656,644,"A"
"4579",4579,"charles",1322837829,764354,"02/12/2011 14:57","no",669,118,17.9,-4.38,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.13,-0.23,-22,61,-161,20,601,-336,-68,-27.4,-118,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,-0.63,0.94,-302,-57,-56,-400,266,541,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.756324716,-28.80816981,127.1874299,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08,0.34,0.15,-11,-3,37,-515,350,-169,-26.3,21.1,-140,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,-2.2,-0.75,-306,24,53,-674,499,660,"A"
"4665",4665,"charles",1322837835,596280,"02/12/2011 14:57","no",674,119,16.5,-0.73,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.1,-0.08,-15,65,-161,25,598,-332,-35,5.88,-77,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09,-1.2,0.64,-196,-32,60,93,237,613,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.29341962,-2.241866986,122.7069472,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13,0.26,0.08,-1,-15,42,-500,360,-186,-40.1,13.8,-177,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,-0.87,-0.54,-422,-190,16,-592,-99,293,"A"
"4748",4748,"charles",1322837839,636304,"02/12/2011 14:57","no",678,119,16,1.39,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.1,-0.25,-21,60,-159,22,606,-316,-29.4,-17,-28.1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22,-0.1,0.79,59,-77,-47,651,73,252,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.31258402,-13.31258402,138.1963331,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.08,-0.1,-5,-5,37,-498,362,-155,14.4,15.8,-80.5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11,1.19,0.71,-160,118,53,-407,778,702,"A"
"4758",4758,"charles",1322837840,400344,"02/12/2011 14:57","no",679,120,15.5,2.96,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.1,-0.11,-22,62,-152,26,599,-328,-49,-36.5,3.11,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,-1,0.87,131,-105,-142,733,-20,-5,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,53.76832531,-39.42443751,87.60580506,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.26,0.07,-3,4,6,-483,369,-218,28.2,2.91,-79.1,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,-0.95,0.05,-44,98,7,-100,722,545,"A"
"4792",4792,"charles",1322837842,96331,"02/12/2011 14:57","no",681,117,15.6,1.84,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.11,-0.13,-20,62,-151,22,611,-294,-36.5,29.5,-89.5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.03,-0.16,0.77,-265,-61,29,-224,262,622,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.22795237,-28.97517014,123.1103751,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.19,0.29,0.18,-10,-6,33,-498,369,-186,-47,22.5,-176,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16,0.5,-0.02,-466,-178,-12,-573,-132,230,"A"
"4798",4798,"charles",1322837842,268322,"02/12/2011 14:57","no",681,117,15.5,2.19,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.11,-0.11,-18,61,-154,30,605,-309,-22,14,-72.3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.83,0.18,1.77,-192,-17,52,93,298,577,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.33454464,6.260882242,111.249869,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16,0.08,-0.33,3,-21,43,-502,366,-160,-40.6,27.3,-159,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,1.33,0.13,-421,-119,34,-647,47,382,"A"
"4831",4831,"charles",1322837843,712315,"02/12/2011 14:57","no",682,119,15.5,1.89,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.11,-0.18,-24,62,-154,30,600,-335,-38.2,-35.9,-13.9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73,-1.19,0.97,80,-72,-71,693,79,171,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.06023917,0,131.0193935,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.31,0.05,0,4,15,-480,378,-196,37.1,5.46,-68,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,-0.77,-0.18,-18,72,-2,-57,694,481,"A"
"4854",4854,"charles",1322837844,840314,"02/12/2011 14:57","no",683,119,16.1,0.62,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.13,-0.16,-23,68,-160,24,605,-332,-35.6,30.8,-91.6,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,-0.75,0.52,-280,-51,-9,-297,299,604,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-63.88651442,-30.27459516,84.10686706,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.27,0.06,0.39,-10,-20,25,-513,331,-184,-41.4,30.5,-161,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,-1.25,-0.23,-408,-120,61,-678,144,452,"A"
"4872",4872,"charles",1322837845,324286,"02/12/2011 14:57","no",684,119,16,0.4,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.11,-0.13,-23,63,-159,26,599,-333,-25.8,19,-72.8,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.56,0.08,1.56,-194,-36,42,31,254,620,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-44.85966856,-10.86389483,110.7332432,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11,0.14,0.03,-4,-16,33,-518,330,-174,-49,22.8,-172,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51,1.4,0.1,-440,-212,16,-583,-113,289,"A"
"4959",4959,"adelmo",1322832820,736376,"02/12/2011 13:33","no",741,122,-43.5,172,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.11,-0.16,49,45,-159,163,607,-305,51.8,51.4,13.9,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,-0.87,0.79,-188,-32,38,50,272,618,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,60.84455961,-28.00196097,-88.29141173,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.05,-0.2,-44,91,-123,-543,309,38,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,1.53,0.67,-138,440,-5,-436,811,724,"A"
"4961",4961,"adelmo",1322832820,872365,"02/12/2011 13:33","no",741,122,-43.6,172,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.11,-0.16,49,46,-160,162,603,-307,55,56.4,16.7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,-0.82,0.57,-190,-40,22,-3,268,609,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,61.37433318,-30.24874932,-86.52986833,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.06,-0.2,-45,87,-115,-545,309,43,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,1.46,0.79,-103,431,-4,-388,823,708,"A"
"4993",4993,"adelmo",1322832822,628322,"02/12/2011 13:33","no",743,122,-43.7,172,17,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.11,-0.15,50,44,-157,171,607,-311,9.92,-17.2,-31.7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.27,0.77,125,-96,-122,764,-39,-17,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,57.83144937,-19.2989898,-95.29451015,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.22,-0.21,-40,114,-170,-501,385,-65,0,0,0,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,-0.95,-0.23,-310,244,21,-700,241,575,"A"
"5062",5062,"charles",1322837846,716336,"02/12/2011 14:57","no",771,120,16,0.94,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.1,-0.16,-25,63,-161,28,599,-339,-45.9,-40.1,-3.82,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,-1.06,0.9,109,-81,-92,720,23,87,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.41441992,-22.67988481,111.8481971,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.18,-0.23,-3,-5,12,-502,351,-189,35.8,8.68,-71.3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,-1.14,0.21,-30,111,27,-71,702,487,"A"
"5073",5073,"charles",1322837834,304287,"02/12/2011 14:57","no",772,119,17.3,-0.71,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.11,-0.16,-23,63,-161,16,604,-338,-44.9,-13.5,-38.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8,0.16,0.79,18,-34,18,627,99,297,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,97.37090693,-11.04882324,58.39430073,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21,0.08,-0.03,-2,15,10,-484,378,-186,22.2,0.65,-75.4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.29,-0.1,-72,100,12,-78,715,531,"A"
"5085",5085,"charles",1322837834,688356,"02/12/2011 14:57","no",772,119,17.5,-0.95,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.13,-0.16,-21,64,-160,19,602,-333,-65.6,-31.3,5.81,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,-0.37,0.39,134,-115,-179,724,-67,-87,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.57238643,-28.34956227,123.465015,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24,0.13,0.28,-8,5,27,-494,372,-172,12.4,17.1,-108,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,-1.54,-0.79,-155,95,8,-407,756,622,"A"
"5097",5097,"charles",1322837825,100314,"02/12/2011 14:57","no",773,115,20.7,-10.1,18,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.11,-0.15,-26,63,-159,10,599,-322,-122,-45.3,-51.6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,-0.55,0.95,-179,-82,42,19,160,658,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.4842055,-38.73054101,18.99882879,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.56,0.16,-10,-24,5,-515,339,-197,24.3,8.21,-75.3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.05,0.1,-41,46,-15,-4,657,433,"A"
"5268",5268,"eurico",1322489627,126677,"28/11/2011 14:13","no",814,1.02,4.07,-87.4,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,0,0,-8,3,30,53,575,-407,69.1,1.57,63.4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,-0.96,0.23,-119,193,-8,154,238,589,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.21529333,-17.36450116,125.4054429,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,-0.51,-0.3,-4,-6,22,-406,255,314,159,6.61,109,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11,-1.09,0.1,-78,280,176,-719,1240,-643,"A"
"5322",5322,"eurico",1322489621,266636,"28/11/2011 14:13","no",816,1.02,4.35,-87.7,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.02,-0.03,-8,3,29,61,570,-423,55.1,-26,19.1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38,-0.59,0.28,78,118,-84,661,-10,278,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,92.00911771,50.94081782,36.75486656,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,-0.63,-0.49,19,31,14,-357,339,301,-152,-31.2,6.81,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32,-3,-0.11,225,168,160,488,-227,-33,"A"
"5335",5335,"eurico",1322489621,798650,"28/11/2011 14:13","no",816,0.99,4.89,-87.7,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,-0.02,-11,3,29,58,578,-424,57.2,14,58.1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,-0.29,0.08,-125,158,-12,58,185,650,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.05063771,59.08727501,83.72150032,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,-0.4,-0.33,3,-2,4,-406,264,307,155,-31.5,89.5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22,-1.93,0.16,44,329,198,-265,855,-390,"A"
"5345",5345,"eurico",1322489614,90656,"28/11/2011 14:13","no",817,1.68,4.95,-87.9,2,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,0,0,-9,4,22,52,581,-427,75.9,43.6,89.1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,0,-0.02,-221,154,-114,-343,221,590,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.42495806,-130.0246564,-14.87983452,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,-0.06,0.05,-13,-3,-2,-427,281,274,154,-60.4,144,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21,-0.22,0.31,-57,278,211,-464,986,-388,"A"
"5346",5346,"eurico",1322489614,90695,"28/11/2011 14:13","no",817,1.68,4.87,-87.9,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,0,-0.02,-9,5,27,57,570,-424,75.9,43.5,89.1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,0,0.02,-221,153,-114,-341,237,594,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.42495806,-130.0246564,-14.87983452,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,-0.06,0.05,-13,-3,-2,-427,281,274,154,-60.3,145,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21,-0.21,0.31,-57,278,213,-468,978,-392,"A"
"5396",5396,"eurico",1322489607,390762,"28/11/2011 14:13","no",819,1.22,5.59,-87.6,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.02,-12,4,31,68,580,-402,59.9,26.3,52.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.13,0.11,-63,118,-16,147,144,649,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.21587581,-56.76350351,98.41720993,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,0.02,-204,50,316,-427,228,331,-133,-66,70.8,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13,-0.22,0.33,-56,279,214,-420,924,-296,"A"
