"","X","user_name","raw_timestamp_part_1","raw_timestamp_part_2","cvtd_timestamp","new_window","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"1764",1764,"eurico",1322489618,594680,"28/11/2011 14:13","no",223,1.51,3.53,-87.4,3,0.08,-0.02,-0.05,-7,4,24,51,570,-427,71.1,43.3,84.4,30,-0.02,-0.02,0.02,-219,154,-113,-334,233,593,98.37190119,58.08501216,7.576001424,5,0.08,-0.79,-0.54,29,44,4,-275,410,289,-136,-21.8,7.38,30,0.02,-2.68,-0.2,191,144,168,452,-243,-77,"A"
"1770",1770,"eurico",1322489618,794811,"28/11/2011 14:13","no",223,1.09,3.86,-87.5,3,0.05,0,-0.05,-6,5,28,54,579,-427,73.1,44.6,86.5,30,0.21,-0.05,0.03,-224,156,-112,-359,234,583,99.3072385,47.88279984,29.75698609,2,0.48,-0.71,-0.38,11,20,7,-371,322,292,-179,-45.2,64.3,40,0.19,-2.17,-0.23,108,322,187,30,530,-275,"A"
"1775",1775,"eurico",1322489619,130619,"28/11/2011 14:13","no",224,0.99,4.36,-87.6,3,0.03,0,-0.02,-8,4,30,53,569,-423,72.8,44.3,86.7,30,-0.08,0.03,-0.03,-225,153,-119,-357,249,589,-86.85393953,-70.22569315,0,2,0.42,-0.59,-0.48,-11,-13,0,-422,276,278,156,-42.2,103,38,0.02,-1.2,-0.02,10,318,199,-307,883,-376,"A"
"1794",1794,"eurico",1322489619,654649,"28/11/2011 14:13","no",224,1.92,4.72,-87.7,2,-0.02,0,0.02,-9,4,22,60,564,-427,74.3,44.8,87.7,31,0.03,-0.05,0.05,-227,155,-123,-366,251,571,-125.4054429,-26.21529333,17.36450116,1,0.14,-0.21,-0.23,-3,-11,2,-412,258,306,140,-32,140,36,-0.16,-0.02,0.23,-62,283,205,-594,1100,-483,"A"
"1795",1795,"eurico",1322489619,738690,"28/11/2011 14:13","no",224,1.96,4.5,-87.7,2,-0.03,-0.02,-0.02,-7,4,23,56,573,-433,74.3,45,87.3,31,-0.03,-0.03,0.05,-225,156,-122,-370,245,568,-114.7365495,-22.99421052,34.89185573,1,0.1,-0.31,-0.2,-2,-8,3,-411,262,320,141,-34,139,37,-0.1,0.63,0.23,-37,297,209,-549,1070,-472,"A"
"1811",1811,"eurico",1322489620,310634,"28/11/2011 14:13","no",225,0.87,4.95,-87.7,3,0.05,0,-0.02,-14,4,26,57,575,-411,40.4,-9.93,39.9,13,-3.32,0.5,-0.56,-19,127,-7,522,-51,448,-84.03029591,-8.28553568,72.3597087,1,0.02,-0.1,0.07,-1,-9,8,-409,280,294,-135,-10.4,5.34,27,-0.72,2.99,0.44,193,37,184,592,-703,125,"A"
"1821",1821,"eurico",1322489620,666672,"28/11/2011 14:13","no",225,1.43,4.9,-87.8,3,0.02,0,0,-11,6,24,58,565,-425,67.2,-49.5,-8.75,26,-2.75,0.05,-0.1,137,74,-201,717,-154,-117,91.22972438,64.95332111,-9.318321588,2,0.11,0.35,-0.25,13,17,-2,-357,346,295,-136,27.2,-32.6,29,-0.96,2.06,0.74,72,-216,174,183,-712,31,"A"
"1823",1823,"eurico",1322489620,694678,"28/11/2011 14:13","no",225,1.5,4.79,-87.8,2,-0.02,0,-0.02,-10,4,19,52,567,-425,84.7,-54.3,-31.8,35,-1.99,0.27,-0.48,166,67,-297,658,-156,-258,102.5141272,54.56550545,0,3,0.02,0.34,-0.11,17,28,0,-316,379,309,-134,33.5,-33.6,28,-0.71,-0.58,0.25,20,-228,143,118,-688,30,"A"
"1844",1844,"eurico",1322489622,687997,"28/11/2011 14:13","no",226,0.66,3.7,-87.6,3,-0.02,0,-0.07,-8,4,31,53,574,-417,65.6,24.6,86.4,27,-1.59,0.32,-0.59,-194,176,-32,-248,239,616,-95.93553574,-60.60374607,-7.126218525,3,0.43,-0.5,-0.21,-16,-23,-2,-411,240,325,165,-34.7,102,42,-0.5,2.44,0.79,74,358,190,-5,580,-269,"A"
"1855",1855,"eurico",1322489623,142682,"28/11/2011 14:13","no",227,1.2,4.81,-87.6,3,0.03,0,0.03,-9,1,28,56,575,-410,50.6,-22.5,43.1,14,-3.32,0.87,-0.97,-12,135,-2,575,-37,393,-14.18970546,0,142.8899272,1,-0.18,0.08,0.2,0,-2,14,-394,293,295,-149,-14.8,7.75,30,-0.51,3.05,0.34,220,57,179,536,-601,42,"A"
"1859",1859,"eurico",1322489623,302764,"28/11/2011 14:13","no",227,1.56,4.8,-87.6,3,-0.02,0,0.03,-10,3,26,59,575,-428,58.3,-42.4,16.8,17,-3.36,0.35,-0.62,98,73,-118,728,-143,77,117.6620135,27.50164027,27.50164027,2,-0.21,0.5,-0.07,5,17,5,-349,339,312,-146,2.92,-18,23,-0.85,2.26,0.64,147,-59,156,357,-679,5,"A"
"1868",1868,"eurico",1322489623,586639,"28/11/2011 14:13","no",227,1.82,3.99,-87.6,3,0.03,0,-0.05,-6,5,25,48,566,-427,127,-45.2,-67.6,44,-0.08,-0.48,0.39,161,38,-402,461,-173,-438,95.64224815,60.25222169,10.56330551,8,0.03,-0.11,-0.28,43,62,8,-263,414,299,-145,9.51,-38.4,27,-0.21,-0.87,0.28,142,-168,153,246,-669,-12,"A"
"1876",1876,"eurico",1322489623,822655,"28/11/2011 14:13","no",227,1.13,4.7,-87.5,3,0.02,0,-0.03,-8,3,29,57,579,-426,92.8,-51,-18.7,31,2.57,-0.63,-0.08,160,58,-257,710,-156,-156,89.15176852,59.66902607,28.4787868,5,0.47,-0.66,-0.43,26,36,13,-313,358,318,-157,-15.8,-6.41,27,0,-3.82,-0.49,178,96,172,426,-351,-91,"A"
"1881",1881,"eurico",1322489623,914654,"28/11/2011 14:13","no",227,1,4.79,-87.6,3,0.03,0,-0.03,-9,2,30,59,580,-425,71,-42.7,13.5,20,2.92,-0.72,0.36,119,86,-133,724,-89,142,51.91656514,72.2872088,59.71766581,3,0.26,-0.79,-0.34,20,15,17,-343,333,308,-175,-23.4,22.3,32,-0.18,-3.29,-0.61,147,234,153,253,128,-233,"A"
"1914",1914,"eurico",1322489626,354798,"28/11/2011 14:13","no",229,2.02,3.09,-87.2,3,-0.1,0.02,-0.02,-7,2,26,52,566,-429,118,-43.6,-52.3,42,-0.13,-0.16,0.05,166,45,-372,543,-124,-403,90.77248751,65.47872357,-8.96775766,6,0.21,0.06,-0.3,34,44,-5,-280,393,326,-152,1.9,-38.4,26,-0.16,-2.49,0.25,133,-140,166,344,-748,51,"A"
"1922",1922,"eurico",1322489626,718632,"28/11/2011 14:13","no",229,1,3.35,-87.2,3,0.1,0,-0.05,-8,5,27,51,576,-427,89.2,-40.7,-1.02,27,2.76,-0.77,-0.1,140,98,-197,735,-46,-21,66.42070915,59.050429,59.050429,5,0.35,-0.63,-0.3,28,31,28,-329,335,326,172,-12.1,43.5,35,-0.71,-3.23,-0.05,110,294,139,40,480,-383,"A"
"1927",1927,"eurico",1322489626,914752,"28/11/2011 14:13","no",229,0.88,4.04,-87.4,3,0.03,0,-0.03,-10,2,29,58,574,-420,70.5,-19.8,39.1,17,3.23,-1.14,0.18,-1,165,-22,539,116,407,67.10385401,62.76635744,54.47056974,3,0.03,-0.88,-0.2,17,18,15,-374,284,329,161,-1.39,86.4,38,-0.14,-2.31,-0.3,7,338,165,-459,1070,-579,"A"
"1928",1928,"eurico",1322489626,938653,"28/11/2011 14:13","no",229,0.88,4.07,-87.3,3,0.03,0,-0.02,-10,3,29,53,577,-421,69.9,-17.2,42.1,18,3.02,-1.14,0.2,-16,172,-28,519,129,418,82.90778614,16.45884779,71.46929526,2,0.13,-0.8,-0.16,4,18,16,-375,274,326,160,-0.51,89.6,38,-0.19,-2.33,-0.2,-12,334,168,-518,1110,-595,"A"
"1943",1943,"eurico",1322489629,438681,"28/11/2011 14:13","no",230,1.18,4.49,-87.7,3,0,0,-0.02,-10,3,27,49,575,-426,85.1,-33.2,22,18,3.12,-1.2,0.3,74,130,-93,694,28,186,55.84124212,76.54593244,51.10386822,3,0.1,-0.74,-0.28,17,13,12,-355,312,324,159,0.22,89.5,41,0.05,-2.12,0.03,-15,348,196,-441,1020,-491,"A"
"1957",1957,"eurico",1322489629,982654,"28/11/2011 14:13","no",230,1.91,3.51,-87.6,2,0,0,-0.02,-8,2,22,50,569,-435,84.7,15,98.9,32,1.22,-0.45,0.34,-228,191,-102,-303,351,523,-67.40228584,-82.22503712,27.48085514,4,0.32,-0.37,-0.34,-27,-23,10,-395,244,342,158,5.24,118,36,-0.06,0.19,0.21,-66,286,197,-662,1160,-546,"A"
"1965",1965,"eurico",1322489630,474698,"28/11/2011 14:13","no",231,1.11,3.56,-87.8,3,-0.02,-0.02,-0.08,-10,3,28,47,571,-428,83.9,16,112,32,-0.08,0.05,-0.07,-235,161,-142,-388,332,501,-107.3137201,3.662078599,49.605962,3,0.05,-0.39,-0.11,1,-24,13,-416,234,336,161,-12.3,85.9,44,0.08,3.32,0.38,92,377,189,60,504,-204,"A"
"1982",1982,"eurico",1322489631,34736,"28/11/2011 14:13","no",232,1.53,4.15,-87.8,2,-0.06,0.02,0.02,-8,3,19,60,569,-425,71.4,-25.7,54.7,16,-3.23,0.74,-0.59,-24,152,-3,518,56,443,46.05539917,11.13410143,109.4914077,2,0.11,0.06,-0.18,2,8,16,-373,306,321,-164,2.66,-59.1,32,-0.21,0.72,0.57,64,-255,165,185,-719,37,"A"
"1983",1983,"eurico",1322489631,34771,"28/11/2011 14:13","no",232,1.56,4.02,-87.8,2,-0.08,0.02,0.02,-10,4,18,59,562,-433,72.6,-27.8,50.3,15,-3.28,0.72,-0.59,-11,150,-7,573,30,398,38.87684137,55.93892414,86.03916679,1,0.11,0.06,-0.15,7,5,10,-374,311,315,-164,2.86,-59.7,32,-0.31,0.1,0.54,41,-264,163,176,-711,37,"A"
"1996",1996,"eurico",1322489631,482670,"28/11/2011 14:13","no",232,0.95,2.5,-87.7,3,-0.03,0,-0.07,-10,3,28,45,574,-425,122,-35.1,-45.5,41,1.3,-0.39,0.39,155,43,-373,550,-127,-398,67.44362755,86.49411771,17.65442194,5,0.43,-0.8,-0.38,39,32,9,-275,361,346,175,-5.93,9.37,32,-0.37,-3.84,-0.49,153,225,164,351,-27,-170,"A"
"2053",2053,"eurico",1322489633,730657,"28/11/2011 14:13","no",234,1.78,3.16,-88.3,2,0,0,-0.07,-6,3,21,42,570,-431,113,-39.4,-29.3,31,-2.62,0.24,-0.02,139,58,-268,635,-149,-301,70.18739171,81.81244408,22.65056892,4,0.13,0.24,-0.2,26,23,8,-230,397,335,-169,-0.18,-57.9,27,0.39,-1.89,0.1,100,-170,181,291,-795,94,"A"
"2070",2070,"eurico",1322489635,278649,"28/11/2011 14:13","no",235,0.96,2.36,-88.2,3,0.1,-0.02,-0.03,-6,1,30,35,572,-423,82.7,10.9,110,30,0.5,-0.1,0.05,-218,167,-114,-346,320,544,-133.9318963,-16.29414786,16.29414786,3,0.48,-0.4,-0.41,-4,-24,4,-440,215,310,168,11.9,102,38,0.06,1.45,0.25,-60,326,180,-597,1130,-532,"A"
"2077",2077,"eurico",1322489635,498665,"28/11/2011 14:13","no",235,1.09,3.49,-88.5,3,0,0,-0.02,-8,4,25,35,575,-423,84.8,13.3,116,33,0.03,-0.05,-0.07,-238,164,-151,-396,324,502,-122.2724064,-18.17747646,29.34334446,3,-0.14,-0.22,0.28,-5,-26,8,-429,250,293,171,-3.72,44.5,35,0.02,3.55,0.67,124,272,173,389,14,-76,"A"
"2078",2078,"eurico",1322489635,498712,"28/11/2011 14:13","no",235,1.12,3.47,-88.6,3,0,0,0,-9,6,27,36,571,-419,84.8,13.4,116,33,-0.05,-0.05,0.02,-238,164,-150,-394,317,502,-124.3437868,-20.73289015,24.95997073,2,-0.13,-0.27,0.25,-5,-23,6,-423,264,294,172,-4.79,38.6,35,0.11,3.68,0.62,149,255,176,453,-112,-39,"A"
"2087",2087,"eurico",1322489635,702649,"28/11/2011 14:13","no",235,1.31,3.3,-88.6,3,0.02,0,0,-8,3,28,34,568,-420,79.9,8.35,109,29,-1.33,0.64,-0.71,-207,189,-62,-294,302,569,-127.8915177,-24.17746801,16.03030484,3,0.31,-0.51,-0.38,-6,-24,4,-415,276,295,-179,-5.58,-29.9,24,-0.74,3.03,0.57,154,-7,181,513,-774,121,"A"
"2094",2094,"eurico",1322489635,886746,"28/11/2011 14:13","no",235,1.33,3.42,-88.6,3,0.02,0,-0.03,-8,4,28,33,575,-416,72.9,-13.9,77.4,23,-3.2,1.16,-0.95,-106,193,26,262,155,583,-123.264653,-33.13289917,6.510599022,3,0.27,-0.31,-0.48,-10,-29,2,-442,232,290,-171,5.96,-65.1,33,-0.83,-1.08,0.49,-31,-274,177,228,-800,134,"A"
"2128",2128,"eurico",1322489637,403718,"28/11/2011 14:13","no",237,1.41,3.53,-88.9,3,0.02,0,-0.02,-7,4,29,38,570,-431,79,7.84,95,29,2.01,-0.64,0.61,-203,184,-62,-222,297,608,-120.6885367,-36.23472514,-3.223012935,3,0.16,-0.31,-0.25,-11,-29,-1,-432,237,301,173,14.9,84.8,39,-0.37,2.07,1.33,-32,350,158,-332,936,-484,"A"
"2161",2161,"eurico",1322489638,694761,"28/11/2011 14:13","no",238,1.58,1.89,-88.6,2,0.11,-0.02,-0.02,-4,2,24,17,567,-438,113,-41.5,-31.8,33,-3.07,0.48,-0.2,144,49,-284,636,-182,-300,21.05726186,6.972979491,134.8647323,6,-0.87,0.59,-0.15,4,12,56,-339,323,319,179,13.2,17.6,31,-0.29,-2.73,-0.89,155,223,137,206,189,-286,"A"
"2165",2165,"eurico",1322489638,834712,"28/11/2011 14:13","no",238,1.76,3.28,-88.8,2,0.21,0,0.05,-7,5,19,29,562,-431,130,-33.8,-53,47,-0.27,-0.27,0.77,125,6,-447,476,-208,-426,54.25077729,42.80009441,84.67324395,10,-1.36,0.9,-0.23,41,51,74,-175,368,383,178,18.5,46,31,-0.72,-2.52,-0.67,63,271,127,-96,656,-465,"A"
"2194",2194,"eurico",1322489640,474718,"28/11/2011 14:14","no",240,1.97,4.29,-89.2,2,-0.06,0.02,0.02,-14,7,17,42,562,-438,79.4,-7.91,80.2,27,-2.5,1.36,-0.54,-146,218,-16,171,239,598,-4.335889962,-86.10742634,-70.78209644,5,0.39,-0.27,-0.33,-35,-2,-30,-475,185,288,-179,10.5,-57,33,-0.27,-1.08,0.39,71,-270,171,312,-799,108,"A"
"2201",2201,"eurico",1322489640,746642,"28/11/2011 14:14","no",240,1.77,3.18,-88.9,3,-0.11,0.02,-0.07,-15,5,19,40,565,-434,86.1,-33.2,35.3,16,-3,1.11,-0.56,60,131,-68,661,-33,266,-93.48025749,-16.83951141,-60.63127125,3,0.31,-0.27,-0.34,-5,-24,-17,-489,195,256,-180,9.41,-25,24,-0.37,-3.18,-0.69,163,-20,162,514,-641,58,"A"
"2203",2203,"eurico",1322489640,842646,"28/11/2011 14:14","no",240,1.5,2.64,-88.9,3,-0.16,0.02,-0.05,-7,0,24,33,560,-425,92.2,-38.1,17.8,19,-2.91,0.95,-0.46,105,108,-115,724,-98,119,-60.51988106,-3.1612242,-96.45303579,3,0.21,-0.37,-0.34,-1,-18,-26,-491,189,256,178,10.4,-12,24,-0.32,-3.24,-0.8,168,70,146,479,-400,-51,"A"
"2231",2231,"jeremy",1322673025,998692,"30/11/2011 17:10","yes",308,0.53,5.42,-88,5,0.02,0,0,-16,2,45,51,635,-299,0,0,0,38,-0.1,0.13,-0.28,-279,156,-198,-417,454,351,46.8,-50.2,-85.1,31,0.37,0.13,-0.33,-144,135,-225,-561,289,-5,44.8,-65.6,169,32,-0.03,-0.13,0.1,243,73,-187,143,516,710,"A"
"2235",2235,"jeremy",1322673026,198716,"30/11/2011 17:10","no",309,0.62,5.41,-88,5,0.02,0,0,-15,2,45,48,635,-299,0,0,0,38,0.06,-0.05,0,-278,160,-198,-419,457,350,46.14565833,-50.7198498,-85.14056985,30,0.34,0.14,-0.34,-144,132,-223,-559,284,-8,45,-65.1,169,34,0.02,0.06,-0.34,255,87,-197,136,523,701,"A"
"2238",2238,"jeremy",1322673026,218623,"30/11/2011 17:10","no",309,0.63,5.38,-88,5,0.02,0.02,0,-14,0,46,54,631,-302,0,0,0,38,0.1,-0.06,-0.07,-283,157,-193,-422,461,347,46.53922481,-50.7064232,-84.83468298,30,0.34,0.16,-0.39,-145,134,-224,-554,292,-6,44.4,-64.7,170,32,0.11,0.05,0.2,217,81,-205,132,523,704,"A"
"2271",2271,"jeremy",1322673027,594718,"30/11/2011 17:10","no",310,0.77,4.8,-87.9,5,0.03,0.02,0,-16,2,44,52,632,-304,0,0,0,40,0.05,-0.05,-0.3,-290,176,-205,-429,455,339,48.234856,-50.492388,-83.63138485,31,0.35,0.11,-0.3,-146,140,-224,-558,294,7,50,-62.5,165,33,0,-0.03,0.03,234,101,-200,131,541,686,"A"
"2295",2295,"jeremy",1322673028,314749,"30/11/2011 17:10","no",311,0.79,4.75,-87.9,5,0,0.02,0,-18,2,42,53,639,-313,0,0,0,38,-0.1,-0.06,0.31,-279,152,-195,-421,448,355,47.13016728,-50.17412331,-84.80884445,30,0.35,0.14,-0.34,-143,135,-223,-560,287,-14,49.2,-62,166,33,0.03,0,0.03,234,100,-202,137,542,688,"A"
"2314",2314,"jeremy",1322673028,974714,"30/11/2011 17:10","yes",311,0.98,4.94,-87.8,4,0.02,0,0,-13,2,42,56,636,-306,0,0,0,38,-0.03,-0.05,0.02,-277,156,-196,-425,452,355,46.8,-49.8,-85.3,31,0.35,0.14,-0.43,-144,136,-227,-563,286,-13,49.1,-61.7,165,32,-0.02,-0.03,-0.03,230,92,-198,131,536,704,"A"
"2333",2333,"jeremy",1322673029,594667,"30/11/2011 17:10","no",312,0.95,4.9,-87.9,4,0.02,0.02,-0.02,-14,2,40,48,634,-314,0,0,0,38,-0.02,-0.02,0.02,-280,155,-193,-425,443,345,45.15508745,-51.2644886,-85.46334511,30,0.35,0.14,-0.36,-145,129,-223,-553,298,-8,49.7,-61.4,164,33,0.02,-0.08,-0.07,232,100,-202,139,536,691,"A"
"2337",2337,"jeremy",1322673029,626641,"30/11/2011 17:10","no",312,0.9,4.89,-87.9,4,0,0,0,-16,3,40,48,631,-304,0,0,0,38,0,-0.03,0.02,-279,156,-193,-429,445,357,46.8822531,-51.05445859,-84.2585609,30,0.35,0.13,-0.36,-146,135,-223,-558,290,-9,49.5,-61.1,164,33,0.05,-0.02,0,233,92,-203,140,534,697,"A"
"2343",2343,"jeremy",1322673029,974682,"30/11/2011 17:10","no",312,0.85,4.96,-87.9,4,0.08,0,0,-12,1,42,51,630,-302,0,0,0,38,0.02,-0.02,0.03,-281,158,-196,-423,450,355,46.23948838,-50.78980969,-85.00511234,30,0.35,0.14,-0.38,-145,133,-224,-566,293,3,49.6,-60.9,164,33,-0.02,0,0,233,96,-201,126,539,695,"A"
"2345",2345,"jeremy",1322673030,50655,"30/11/2011 17:10","no",313,0.8,5.3,-87.9,5,0.11,0,-0.03,-15,4,42,48,636,-301,0,0,0,38,0.02,0,0,-278,156,-195,-421,449,347,46.23948838,-50.78980969,-85.00511234,30,0.35,0.14,-0.38,-145,133,-224,-560,284,-9,49.6,-60.9,164,33,0,0,-0.07,236,102,-202,136,530,698,"A"
"2346",2346,"jeremy",1322673030,62677,"30/11/2011 17:10","no",313,0.77,5.39,-87.9,4,0.1,0,-0.03,-18,3,40,61,633,-315,0,0,0,38,0.02,0,-0.02,-279,155,-194,-423,456,347,46.70167254,-50.91796104,-84.52203854,30,0.35,0.14,-0.36,-144,133,-221,-562,286,-2,49.5,-60.9,164,33,0,0,-0.08,231,101,-202,135,531,694,"A"
"2363",2363,"jeremy",1322673030,586668,"30/11/2011 17:10","no",313,0.34,4.47,-88.3,5,0.02,0,-0.02,-13,2,45,46,635,-307,0,0,0,38,0.02,-0.05,0.03,-278,156,-194,-422,453,354,47.38822829,-50.45194305,-84.36168106,30,0.35,0.16,-0.34,-143,135,-221,-561,284,-8,48.7,-60.5,164,33,0.05,0.02,0.05,233,95,-204,130,533,697,"A"
"2374",2374,"jeremy",1322673030,794715,"30/11/2011 17:10","no",313,0.21,5.38,-88.3,5,0,-0.02,-0.02,-18,1,43,41,639,-314,0,0,0,38,0,0.02,-0.1,-281,156,-194,-425,457,353,46.79249946,-50.98663368,-84.38955393,30,0.35,0.16,-0.36,-145,134,-222,-563,293,-9,49.5,-60.4,164,33,0.05,-0.05,0.07,236,102,-201,140,533,704,"A"
"2400",2400,"jeremy",1322673031,791693,"30/11/2011 17:10","no",314,0.5,5.73,-88.3,5,0.05,0.02,0,-18,6,44,51,631,-293,0,0,0,38,0,-0.02,0,-282,154,-192,-422,452,350,45.29706272,-51.76830981,-84.91488012,30,0.32,0.11,-0.38,-147,130,-223,-560,294,-7,49.7,-59.2,164,33,-0.03,-0.02,-0.08,236,100,-201,136,531,697,"A"
"2410",2410,"jeremy",1322673032,438726,"30/11/2011 17:10","no",315,0.53,5.63,-88.3,5,0,0,0,-17,-1,47,42,641,-311,0,0,0,38,0.03,-0.02,-0.07,-281,152,-193,-421,457,341,48.45748959,-51.12770832,-82.9047822,30,0.35,0.16,-0.36,-146,139,-220,-557,296,0,49.3,-58.6,164,33,0,-0.03,-0.08,230,99,-201,130,531,703,"A"
"2418",2418,"jeremy",1322673032,710634,"30/11/2011 17:10","no",315,0.44,5.59,-88.3,4,0.02,0,-0.03,-13,0,41,56,637,-311,0,0,0,38,-0.02,-0.02,0,-282,154,-194,-429,462,349,46.07662294,-51.3740352,-84.63375302,31,0.35,0.13,-0.34,-147,133,-224,-564,293,1,48.6,-58.3,164,33,0.03,0,-0.02,231,98,-200,136,528,704,"A"
"2426",2426,"jeremy",1322673033,190643,"30/11/2011 17:10","no",316,0.45,5.92,-88.2,5,0.03,0.02,-0.02,-16,1,45,53,634,-310,0,0,0,38,0.03,-0.05,-0.02,-283,154,-195,-429,458,357,46.16007038,-52.24001766,-83.81683784,30,0.35,0.19,-0.31,-149,133,-222,-563,289,2,48.9,-57.9,164,33,0.03,-0.02,-0.02,234,102,-200,133,528,704,"A"
"2438",2438,"jeremy",1322673033,502649,"30/11/2011 17:10","no",316,0.49,5.66,-88.1,5,0.05,0,-0.02,-18,-1,46,56,633,-289,0,0,0,38,0.02,0,-0.02,-283,153,-196,-419,458,351,47.99758695,-51.89423961,-82.62449864,30,0.35,0.13,-0.36,-145,135,-215,-550,304,-4,50.2,-57.5,163,33,0.02,-0.02,-0.02,236,102,-200,130,539,696,"A"
"2449",2449,"jeremy",1322673033,998716,"30/11/2011 17:10","yes",316,0.71,4.91,-88,5,0,0.02,0.02,-15,4,47,54,630,-309,0,0,0,38,-0.02,0,-0.03,-279,154,-194,-423,453,359,54.4,-52.4,-76.8,29,0.26,0.18,-0.46,-144,149,-200,-550,301,27,50.6,-56.8,163,33,-0.02,-0.03,-0.02,239,92,-198,133,543,696,"A"
"2472",2472,"jeremy",1322673034,734675,"30/11/2011 17:10","no",317,0.56,4.89,-88,5,0.02,0,-0.02,-16,2,43,52,632,-306,0,0,0,38,0,0.02,-0.03,-280,154,-192,-416,464,337,63.18981673,-48.92128844,-71.54348347,31,0.51,0.27,-0.36,-144,181,-201,-516,353,54,51,-55.5,163,33,0.05,-0.05,-0.13,226,105,-205,127,542,700,"A"
"2484",2484,"jeremy",1322673036,242721,"30/11/2011 17:10","no",318,0.53,5.55,-88,5,0.03,0.02,0.03,-17,5,44,56,633,-302,0,0,0,38,0.02,-0.02,0,-282,152,-190,-419,451,360,55.67467455,-50.10973126,-77.53894886,30,0.34,0.16,-0.41,-140,154,-204,-522,329,49,51.9,-53.7,166,33,0.1,-0.03,-0.23,239,84,-199,125,546,664,"A"
"2485",2485,"jeremy",1322673036,270664,"30/11/2011 17:10","no",318,0.57,5.58,-88,5,0.03,0.02,0.02,-16,8,42,50,633,-304,0,0,0,38,0,-0.03,0,-280,153,-192,-421,456,348,55.75936354,-50.60954756,-77.04026167,30,0.34,0.18,-0.43,-142,155,-204,-519,340,59,51.8,-53.5,166,32,0.11,-0.06,-0.05,230,76,-202,125,556,667,"A"
"2489",2489,"jeremy",1322673036,454684,"30/11/2011 17:10","no",318,0.59,5.4,-88,4,0,0,0,-16,9,40,54,637,-291,0,0,0,38,-0.03,-0.02,-0.03,-280,153,-187,-415,447,355,54.35361386,-50.00750749,-78.80257415,30,0.37,0.21,-0.49,-140,151,-207,-515,338,54,52.3,-53.5,166,32,-0.08,-0.03,-0.15,232,103,-192,129,546,650,"A"
"2500",2500,"jeremy",1322673036,754716,"30/11/2011 17:10","no",318,0.53,5.06,-88.1,5,0,-0.02,-0.05,-15,0,44,50,640,-302,0,0,0,38,-0.05,0.02,0.07,-279,151,-192,-423,460,352,57.95761415,-50.45762266,-75.17201215,30,0.35,0.08,-0.43,-143,162,-202,-517,334,65,52.5,-52,165,33,0.02,0,-0.02,228,102,-200,114,564,666,"A"
"2514",2514,"jeremy",1322673037,542711,"30/11/2011 17:10","no",319,0.68,5.18,-88,4,0.05,0,-0.02,-16,11,39,55,635,-304,0,0,0,38,0.11,0.14,-0.13,-274,172,-186,-426,443,378,54.25042486,-51.0441411,-78.01574052,29,0.32,0.13,-0.34,-141,149,-203,-525,316,64,53.5,-51.5,164,33,-0.03,0.02,-0.08,235,106,-196,125,559,664,"A"
"2515",2515,"jeremy",1322673037,578636,"30/11/2011 17:10","no",319,0.69,5.2,-88,4,0.03,-0.02,-0.05,-15,9,35,47,632,-306,0,0,0,38,0.06,0.14,-0.07,-279,172,-182,-419,441,379,54.1037392,-50.90788593,-78.2614331,30,0.34,0.14,-0.34,-141,149,-204,-530,318,77,53.5,-51.5,164,33,0,-0.03,-0.05,232,105,-196,119,555,663,"A"
"2518",2518,"jeremy",1322673037,650623,"30/11/2011 17:10","no",319,0.72,5.14,-88.1,5,0.02,0,0.03,-15,9,43,49,636,-308,0,0,0,40,0.13,0.26,-0.39,-309,152,-195,-434,437,364,50.54981141,-50.95131881,-81.30182861,29,0.27,0.14,-0.21,-139,138,-207,-523,323,64,53.6,-51.3,163,33,0.02,0.02,0,229,107,-197,116,555,648,"A"
"2519",2519,"jeremy",1322673037,650651,"30/11/2011 17:10","no",319,0.76,5.14,-88.1,5,0.02,0,0,-14,5,42,56,638,-299,0,0,0,39,0.03,0.32,-0.48,-291,147,-193,-427,436,366,49.44383215,-53.02062694,-80.44732049,29,0.29,0.16,-0.3,-146,137,-208,-526,330,67,53.6,-51.3,163,32,0.02,0.02,0,226,110,-195,120,560,651,"A"
